gene_id	n_variants	mean_fst	max_fst	fst_YRI_vs_CEU	fst_YRI_vs_CHB	fst_CEU_vs_CHB	in_sweep	n_conv_groups	max_h12
KCTD15	68	0.109891	0.28114	0.067388	0.28114	0.128697	False	0	0.0
APCS	12	0.109889	0.16942	0.14962	None	0.111571	False	0	0.0
LPAR1	32	0.109877	0.213936	0.145776	0.213936	0.017769	False	0	0.0
LINC01788	3	0.109871	0.109871	0.109871	None	None	False	0	0.0
PEX14	63	0.109863	0.184357	0.184357	0.125617	0.060485	False	0	0.0
NCR2	40	0.109861	0.176824	0.124027	0.176824	0.085988	False	0	0.0
LOC124902508	29	0.109857	0.199175	0.18315	0.034223	0.132739	False	0	0.0
KRTAP2-4	22	0.109846	0.17186	0.163207	0.17186	0.041261	False	0	0.0
TSPAN18	35	0.109826	0.257333	0.091266	0.257333	0.071622	False	0	0.0
ZNF484	47	0.109807	0.203172	0.060667	0.203172	0.178152	False	0	0.0
LOC105370991	8	0.109805	0.184805	0.184805	0.081124	None	False	0	0.0
IGHV1-69	124	0.109801	0.148379	0.147795	0.119631	0.02914	False	0	0.0
TOM1L1	25	0.109784	0.322089	0.042511	0.143315	0.322089	False	0	0.0
NRSN2	32	0.109763	0.234573	0.16906	0.234573	0.023101	False	0	0.0
SLC24A2	46	0.109751	0.157985	0.111062	0.140254	0.157985	False	0	0.0
ADAMTS13	140	0.109741	0.202378	0.094068	0.202378	0.127513	False	0	0.0
ZNF154	50	0.10973	0.189123	0.08159	0.189123	0.109329	False	0	0.0
BLOC1S2	11	0.109721	0.149401	0.147871	0.149401	0.0	False	0	0.0
RP9	19	0.109713	0.174078	0.101672	0.143518	None	False	0	0.0
LGR6	107	0.109711	0.237892	0.130657	0.237892	0.033537	False	0	0.0
IGSF21	39	0.109704	0.181251	0.14279	0.103018	0.181251	False	0	0.0
WDR87	176	0.109704	0.224331	0.224331	0.024934	0.163541	False	0	0.0
PRKCA	37	0.109702	0.149462	0.117829	0.144655	0.105202	False	0	0.0
CEP126	55	0.109683	0.169637	0.075185	0.169637	0.13463	False	0	0.0
ZNF846	49	0.109683	0.223561	0.089753	0.223561	0.115191	False	0	0.0
ZNF853	49	0.109672	0.176538	0.176538	0.055882	0.12177	False	0	0.0
TNRC18	329	0.109661	0.217827	0.115175	0.217827	0.112123	False	0	0.0
CRIM1	105	0.109658	0.210326	0.123852	0.065572	0.210326	False	0	0.0
COL26A1	51	0.109655	0.187589	0.168975	0.091964	0.098088	False	0	0.0
C12orf43	28	0.109651	0.190299	0.112135	0.184505	0.023894	False	0	0.0
CHIT1	61	0.109649	0.173449	0.066738	0.173449	0.101588	False	0	0.0
VSIG10	47	0.109639	0.196111	0.148379	0.040877	0.196111	False	0	0.0
FOXC1	50	0.109621	0.222166	0.064155	0.222166	0.1889	False	0	0.0
GDA	35	0.109616	0.226506	0.059869	0.226506	0.121061	False	0	0.0
LIPM	29	0.109612	0.190297	0.139207	0.180503	0.019928	False	0	0.0
TRBV23-1	7	0.10961	0.300078	0.300078	None	0.014375	False	0	0.0
ZNF208	146	0.109581	0.206328	0.069824	0.080977	0.053795	False	0	0.0
VPS26A	15	0.109572	0.230414	0.025737	0.182631	0.230414	False	0	0.0
PITPNM1	83	0.109571	0.188209	0.18266	0.166636	0.00402	False	0	0.0
FOXI1	20	0.109551	0.224263	0.224263	0.026518	0.1552	False	0	0.0
BTN2A3P	7	0.109508	0.109508	None	0.109508	None	False	0	0.0
DUSP6	14	0.1095	0.29187	0.107133	0.29187	0.062948	False	0	0.0
LOC124901232	71	0.109491	0.207197	0.187194	0.011769	0.207197	False	0	0.0
BRD7	45	0.109481	0.21528	0.132526	0.101288	0.21528	False	0	0.0
PIK3R1	80	0.109477	0.175561	0.119741	0.119417	0.175561	False	0	0.0
CEBPZ	50	0.109457	0.172558	0.12587	0.172558	0.095717	False	0	0.0
CMTR1	32	0.109433	0.225504	0.165669	0.225504	0.03507	False	0	0.0
LYPLA1	25	0.109426	0.189023	0.176606	0.189023	0.00332	False	0	0.0
H4C3	12	0.109423	0.155929	0.132096	0.040244	None	False	0	0.0
MARCHF5	13	0.109414	0.227145	0.227145	0.113584	0.056049	False	0	0.0
TENM2	163	0.109375	0.158569	0.111066	0.158569	0.128369	False	0	0.0
BRAT1	106	0.109374	0.170686	0.170686	0.141787	0.107885	False	0	0.0
LINC01356	13	0.109372	0.221741	0.108172	0.221741	0.037042	False	0	0.0
LOC105378561	9	0.109372	0.179869	0.029227	0.179869	0.127644	False	0	0.0
LOC107984545	9	0.109369	0.154443	0.12452	0.154443	None	False	0	0.0
ANKRD62	60	0.109368	0.309494	0.044727	0.172869	0.309494	False	0	0.0
EPOP	30	0.10936	0.222016	0.14836	0.222016	0.018676	False	0	0.0
LOC102724149	8	0.109358	0.22992	0.22992	0.077291	0.065186	False	0	0.0
ISG20	43	0.109342	0.182238	0.118273	0.182238	0.108221	False	0	0.0
PDE4DIPP2	20	0.109342	0.223833	0.128932	0.223833	0.096002	False	0	0.0
FASTK	29	0.109341	0.228386	0.118979	0.020534	0.149656	False	0	0.0
CATSPERB	47	0.109312	0.264522	0.034991	0.264522	0.172164	False	0	0.0
IQSEC3	100	0.109311	0.176308	0.090983	0.176308	0.171129	False	0	0.0
MSANTD1	36	0.109293	0.21663	0.21663	0.204948	0.0	False	0	0.0
MSRB3	31	0.109291	0.145877	0.145877	0.133501	0.013596	False	0	0.0
PSPH	30	0.10929	0.213931	0.213931	0.059339	0.136609	False	0	0.0
PRL	14	0.109267	0.186849	0.039201	0.143249	0.186849	False	0	0.0
AMOTL2	57	0.10926	0.190483	0.190483	0.095187	0.128045	False	0	0.0
SLC25A46	20	0.109241	0.204004	0.204004	0.156811	0.016266	False	0	0.0
LINC03014	5	0.109231	0.193451	0.0	None	0.193451	False	0	0.0
PHRF1	130	0.1092	0.181657	0.055761	0.181657	0.110149	False	0	0.0
TRAJ44	3	0.109199	0.109199	None	0.109199	None	False	0	0.0
OR5AK2	25	0.10919	0.171141	0.1004	0.171141	0.084687	False	0	0.0
RAB21	16	0.109175	0.189922	0.130991	0.189922	0.076875	False	0	0.0
CASQ2	29	0.109173	0.201585	0.201585	0.140168	0.033348	False	0	0.0
MADCAM1	42	0.109131	0.180318	0.180318	0.125376	0.055754	False	0	0.0
OR4C12	16	0.109131	0.171209	0.165142	0.171209	None	False	0	0.0
ZNF638	87	0.109104	0.157157	0.157157	0.135115	0.104138	False	0	0.0
LINC02176	8	0.109091	0.126632	0.126632	None	None	False	0	0.0
PDE4DIP	180	0.109088	0.211328	0.056024	0.184901	0.211328	False	0	0.0
SPINK9	20	0.109049	0.170744	0.16957	0.114982	0.089951	False	0	0.0
MAS1	23	0.10904	0.260697	0.016358	0.260697	None	False	0	0.0
GPR142	51	0.109033	0.217756	0.132628	0.217756	0.077657	False	0	0.0
NBPF3	74	0.109028	0.216021	0.16325	0.216021	0.005919	False	0	0.0
TSTD2	33	0.109007	0.18891	0.18891	0.134488	0.03363	False	0	0.0
MED16	131	0.108995	0.223678	0.038159	0.223678	0.213183	False	0	0.0
LOC730098	6	0.108991	0.109199	0.108782	None	None	False	0	0.0
ARID3B	39	0.108973	0.292022	0.104008	0.075508	0.292022	False	0	0.0
SDHAF4	11	0.10896	0.232981	0.09683	0.232981	0.058602	False	0	0.0
TMEM132A	80	0.10892	0.233492	0.082286	0.233492	0.089628	False	0	0.0
ZNF470	51	0.108899	0.193336	0.168888	0.193336	0.02926	False	0	0.0
RMDN2	79	0.108889	0.232582	0.115267	0.060587	0.232582	False	0	0.0
OR6Q1	27	0.108888	0.224805	0.030554	0.137607	0.224805	False	0	0.0
NUFIP2	27	0.10888	0.244807	0.154804	0.029074	0.244807	False	0	0.0
MTERF1	19	0.108873	0.219358	0.219358	0.169342	0.0	False	0	0.0
CNPY4	13	0.108846	0.109427	0.109427	0.108556	None	False	0	0.0
TENT2	38	0.108846	0.195005	0.195005	0.161556	0.0	False	0	0.0
TPD52L3	17	0.108835	0.181463	0.072659	0.16857	0.051495	False	0	0.0
LBH	8	0.108831	0.112645	0.112645	0.104238	None	False	0	0.0
HAS3	30	0.108828	0.256768	0.137261	0.256768	0.043112	False	0	0.0
GJB7	27	0.108826	0.171312	0.163611	0.171312	0.024443	False	0	0.0
MN1	65	0.108825	0.177691	0.165438	0.165708	0.013086	False	0	0.0
PAX4	38	0.108785	0.2853	0.055027	0.160193	0.2853	False	0	0.0
TMEM185B	19	0.108783	0.177597	0.177597	0.155658	None	False	0	0.0
RAD50	60	0.108771	0.18401	0.182768	0.18401	0.000104	False	0	0.0
LINC02718	10	0.10874	0.230007	0.020703	0.230007	0.141578	False	0	0.0
ARRDC1-AS1	6	0.108733	0.199659	0.170986	0.199659	0.0	False	0	0.0
ACACB	177	0.108722	0.154245	0.154245	0.143937	0.105639	False	0	0.0
APBA3	102	0.108701	0.196951	0.135535	0.196951	0.040391	False	0	0.0
TMEM45B	25	0.108687	0.192882	0.140452	0.192882	0.00794	False	0	0.0
DCAF6	40	0.108652	0.189333	0.146611	0.189333	0.043461	False	0	0.0
ASIC4	67	0.108651	0.187985	0.099902	0.129554	0.016387	False	0	0.0
ARSB	62	0.108646	0.169255	0.169255	0.166286	0.079498	False	0	0.0
ABHD17A	52	0.108616	0.20126	0.20126	0.106779	0.034502	False	0	0.0
AQP2	20	0.108611	0.184999	0.184999	0.123889	0.069801	False	0	0.0
HECTD1	84	0.108611	0.206839	0.206839	0.168161	0.031643	False	0	0.0
RARRES1	32	0.108609	0.296058	0.042781	0.296058	0.169343	False	0	0.0
KCNG2	70	0.108601	0.177427	0.175669	0.177427	0.046461	False	0	0.0
AJAP1	44	0.108577	0.188717	0.188717	0.04134	0.186805	False	0	0.0
DVL1	65	0.108577	0.169805	0.169805	0.169435	0.015998	False	0	0.0
AMIGO2	19	0.108575	0.183434	0.129188	0.117377	0.08418	False	0	0.0
NDUFV1	30	0.108572	0.147328	0.147328	0.14103	0.0	False	0	0.0
OR4K13	31	0.108569	0.176131	0.176131	0.146976	0.109937	False	0	0.0
SP110	58	0.108569	0.150555	0.15042	0.093908	0.127124	False	0	0.0
EIF4ENIF1	55	0.108548	0.262437	0.024493	0.262437	0.184092	False	0	0.0
KPNA4	19	0.108548	0.178478	0.178478	0.030049	0.178141	False	0	0.0
CATSPERD	107	0.108513	0.182317	0.104211	0.182317	0.164521	False	0	0.0
REXO4	46	0.108497	0.217048	0.151402	0.095109	0.072206	False	0	0.0
CXADR	26	0.108479	0.235086	0.17126	0.117125	0.005914	False	0	0.0
NEGR1	18	0.108454	0.21541	0.21541	0.094973	0.053414	False	0	0.0
AMPD2	40	0.108453	0.176921	0.117215	0.057602	0.176921	False	0	0.0
SULT6B1	40	0.108437	0.219094	0.063541	0.219094	0.179191	False	0	0.0
ZNF326	17	0.108386	0.292255	0.018154	0.227977	0.292255	False	0	0.0
LOC124903318	5	0.108376	0.117334	None	0.117334	0.099419	False	0	0.0
PGBD3	31	0.108367	0.233475	0.090999	0.233475	0.057442	False	0	0.0
OR6K3	35	0.108354	0.161623	0.133547	0.13043	0.0	False	0	0.0
CCNB2	33	0.108345	0.238291	0.182002	0.059496	0.058017	False	0	0.0
GALR1	32	0.108339	0.155171	0.155171	0.105557	0.104563	False	0	0.0
LOC400499	526	0.108325	0.131779	0.116315	0.130141	0.131779	False	0	0.0
NDUFS7	62	0.108309	0.176463	0.176463	0.076661	0.144578	False	0	0.0
CLPTM1L	37	0.108293	0.205479	0.027862	0.205479	0.098647	False	0	0.0
GPAT3	36	0.108273	0.189958	0.165439	0.163922	0.022045	False	0	0.0
OSTM1	16	0.108228	0.112328	0.112328	0.110704	None	False	0	0.0
ACADS	38	0.108224	0.209112	0.209112	0.137828	0.061159	False	0	0.0
FAM3D-AS1	5	0.108218	0.206373	0.164675	0.122077	0.022559	False	0	0.0
OR2T10	25	0.108204	0.184211	0.178418	0.184211	0.0	False	0	0.0
DDX49	41	0.108203	0.176886	0.170404	0.176886	0.017382	False	0	0.0
FPGS	55	0.108191	0.20855	0.149853	0.096032	0.20855	False	0	0.0
SDC4	12	0.108183	0.221435	0.103181	0.221435	0.033726	False	0	0.0
IRF6	20	0.108166	0.231543	0.022221	0.231543	0.177079	False	0	0.0
KCNK9	13	0.108154	0.149497	0.149497	0.059832	None	False	0	0.0
VSTM2A	27	0.108148	0.230622	0.095658	0.053986	0.230622	False	0	0.0
FGF17	31	0.108137	0.162591	0.124777	0.162591	0.08743	False	0	0.0
FBN1	110	0.108122	0.155418	0.155418	0.109474	0.11632	False	0	0.0
TPT1-AS1	14	0.108107	0.190937	0.160672	0.190937	0.013215	False	0	0.0
TRC-GCA7-1	6	0.108103	0.108103	0.108103	0.108103	None	False	0	0.0
MED12L	85	0.108091	0.197322	0.197322	0.045415	0.137747	False	0	0.0
TMEM44	57	0.108077	0.20439	0.047208	0.201121	0.20439	False	0	0.0
PXYLP1	49	0.10807	0.240729	0.157476	0.120447	0.00393	False	0	0.0
ZNF462	281	0.108056	0.226922	0.176612	0.226922	0.01091	False	0	0.0
ZNF26	29	0.10802	0.206973	0.107666	0.206973	0.100284	False	0	0.0
NEK4	62	0.107991	0.246385	0.131037	0.246385	0.045614	False	0	0.0
ITPR1	111	0.10799	0.159544	0.13454	0.123008	0.159544	False	0	0.0
LOC105371965	9	0.107986	0.175495	0.148508	0.098161	0.175495	False	0	0.0
ZBTB44	50	0.107983	0.197712	0.165885	0.130444	0.038015	False	0	0.0
L1TD1	67	0.107981	0.243424	0.073136	0.125515	0.243424	False	0	0.0
ST14	78	0.107977	0.210982	0.135914	0.153583	0.012331	False	0	0.0
DHRS7B	35	0.107974	0.229677	0.229677	0.115891	0.049564	False	0	0.0
RBPJL	43	0.107972	0.207224	0.035945	0.168188	0.207224	False	0	0.0
EMC1	55	0.107949	0.163552	0.152891	0.057111	0.163552	False	0	0.0
LY86	10	0.107948	0.109998	0.106781	0.107066	None	False	0	0.0
LOC105375421	8	0.107936	0.227096	0.180312	0.227096	0.002857	False	0	0.0
DHRS4L2	78	0.107926	0.167043	0.167043	0.079314	0.149983	False	0	0.0
TWF2	23	0.107922	0.264057	0.085297	0.264057	0.057715	False	0	0.0
MFF-DT	19	0.107903	0.154373	0.148063	0.154373	0.082539	False	0	0.0
SLC5A12	45	0.107891	0.191375	0.191375	0.138053	0.040484	False	0	0.0
LOC124902876	21	0.10789	0.165437	0.157402	0.036846	0.145479	False	0	0.0
TPTE	152	0.10789	0.217614	0.217614	0.102902	0.06888	False	0	0.0
DDX11	137	0.107881	0.213393	0.151935	0.025321	0.213393	False	0	0.0
DNAJC25	16	0.107866	0.159474	0.098237	0.159474	0.121738	False	0	0.0
ENTPD3-AS1	7	0.107866	0.115311	0.106137	0.102149	None	False	0	0.0
PDPN	21	0.107857	0.176852	0.134148	0.029854	0.176852	False	0	0.0
EIF2A	23	0.107855	0.213873	0.070518	0.178617	0.0328	False	0	0.0
STRA6	71	0.107843	0.145494	0.098649	0.145494	0.126299	False	0	0.0
NPFFR2	43	0.107832	0.199135	0.084295	0.173348	0.199135	False	0	0.0
CCDC78	113	0.107825	0.128549	0.088305	0.098083	0.122311	False	0	0.0
INSL3	18	0.107825	0.206549	0.074521	0.206549	0.120779	False	0	0.0
ADRA2A	35	0.107814	0.251231	0.042553	0.128142	0.251231	False	0	0.0
PSG4	93	0.107813	0.274159	0.102908	0.079298	0.274159	False	0	0.0
TGFBI	58	0.107813	0.230535	0.230535	0.145308	0.010571	False	0	0.0
PMP2	8	0.107806	0.158763	0.05798	0.158763	None	False	0	0.0
CLCN1	64	0.107786	0.251074	0.094852	0.251074	0.061077	False	0	0.0
ARHGAP23	119	0.107777	0.219291	0.113378	0.219291	0.040322	False	0	0.0
PABPN1L	70	0.107765	0.154986	0.145075	0.154986	0.053883	False	0	0.0
GUCA2B	6	0.107748	0.157654	0.132666	0.032923	None	False	0	0.0
TCTN1	47	0.107747	0.239583	0.108255	0.239583	0.05139	False	0	0.0
LOC105374039	7	0.107738	0.237679	0.237679	0.047808	0.106975	False	0	0.0
CSNK2A3	43	0.10773	0.213558	0.16783	0.147382	0.0	False	0	0.0
LOC124901780	48	0.107724	0.127711	0.112207	0.127711	0.100516	False	0	0.0
LOC107986796	8	0.107717	0.23127	0.23127	0.166733	0.005624	False	0	0.0
GLT1D1	30	0.107716	0.19886	0.19886	0.141652	0.023939	False	0	0.0
PANK1	26	0.107702	0.178208	0.126951	0.178208	0.123446	False	0	0.0
TEAD3	27	0.107693	0.194158	0.174961	0.169345	0.0	False	0	0.0
RBM44	53	0.107691	0.186242	0.078744	0.153139	0.186242	False	0	0.0
MROH2A	187	0.107687	0.195592	0.170228	0.076056	0.089215	False	0	0.0
RPL37A-DT	4	0.107671	0.107671	None	None	None	False	0	0.0
KRT82	47	0.107647	0.293664	0.044403	0.185491	0.293664	False	0	0.0
DBNDD2	23	0.107645	0.308385	0.050274	0.308385	0.146435	False	0	0.0
DIS3L2	60	0.10763	0.197966	0.076368	0.187923	0.197966	False	0	0.0
LGALS14	22	0.107623	0.287825	0.040701	0.287825	0.162736	False	0	0.0
CAMK2G	36	0.107588	0.238993	0.190594	0.004381	0.238993	False	0	0.0
MAP3K6	67	0.107573	0.182694	0.163127	0.182694	0.051343	False	0	0.0
SOX9	27	0.10756	0.218043	0.127249	0.001628	0.179159	False	0	0.0
DDR1	52	0.107557	0.188888	0.002207	0.079454	0.094925	False	0	0.0
MYPN	136	0.107542	0.179347	0.179347	0.070117	0.157853	False	0	0.0
ZCCHC2	74	0.107528	0.174549	0.09537	0.139156	0.174549	False	0	0.0
TP53I11	38	0.107521	0.192041	0.039903	0.11703	0.058491	False	0	0.0
CAPN10	39	0.107515	0.199488	0.159663	0.199488	0.01126	False	0	0.0
SSBP3	28	0.107513	0.112183	0.112183	0.109902	None	False	0	0.0
LHFPL6	15	0.107506	0.214033	None	0.214033	0.00098	False	0	0.0
JMY	49	0.10749	0.202108	0.137208	0.115699	0.02777	False	0	0.0
CLIP4	66	0.107469	0.170273	0.121858	0.170273	0.068937	False	0	0.0
CRLS1	26	0.107465	0.25108	0.117645	0.25108	0.052002	False	0	0.0
TRAV8-2	8	0.107446	0.266364	0.120689	0.037825	0.266364	False	0	0.0
HTR4	43	0.10742	0.200902	0.200902	0.131558	0.041425	False	0	0.0
LOC105376498	4	0.107413	0.107413	None	None	None	False	0	0.0
ANKRD10	30	0.107403	0.213154	0.050575	0.213154	0.146279	False	0	0.0
USP29	68	0.107403	0.19902	0.081992	0.160418	0.19902	False	0	0.0
OR8B4	14	0.10737	0.158371	0.158371	0.147513	0.085228	False	0	0.0
RUSC1	56	0.107345	0.167799	0.163315	0.167799	0.03661	False	0	0.0
MYH11	139	0.107335	0.19637	0.1474	0.104648	0.04892	False	0	0.0
ST6GAL2	82	0.107325	0.189001	0.129813	0.072996	0.189001	False	0	0.0
C4BPA	29	0.107319	0.195542	0.17653	0.195542	0.0	False	0	0.0
ABHD18	45	0.107318	0.240098	0.065731	0.171154	0.240098	False	0	0.0
MTIF3	18	0.107313	0.203193	0.079415	0.173141	0.203193	False	0	0.0
SUSD5	50	0.107313	0.2179	0.126499	0.027045	0.2179	False	0	0.0
EPN2	17	0.107311	0.1484	0.006585	0.116533	0.117921	False	0	0.0
PRPF4	33	0.107292	0.162961	0.112627	0.162961	0.134057	False	0	0.0
SLAMF6	64	0.107289	0.202306	0.202306	0.15244	0.014712	False	0	0.0
IKZF3	29	0.107287	0.2076	0.2076	0.144803	0.026591	False	0	0.0
PLA2G4F	79	0.10728	0.133192	0.133192	0.131778	0.090044	False	0	0.0
TUT4	70	0.107269	0.220779	0.184775	0.220779	0.005307	False	0	0.0
CDX2	29	0.107268	0.226168	0.145894	0.150447	0.001041	False	0	0.0
LOC102723633	8	0.107266	0.141368	0.118448	0.141368	None	False	0	0.0
ATG2B	107	0.107262	0.162212	0.162212	0.092512	0.133427	False	0	0.0
GSE1	432	0.107252	0.182696	0.119095	0.182696	0.084605	False	0	0.0
CHTF18	184	0.10725	0.16322	0.16322	0.123556	0.091608	False	0	0.0
MCM7	53	0.10723	0.198922	0.143662	0.198922	0.014308	False	0	0.0
CPA3	36	0.107229	0.182101	0.164025	0.166046	0.012216	False	0	0.0
ACAT2	15	0.107224	0.160681	0.155778	0.054297	0.15652	False	0	0.0
CHSY1	163	0.10722	0.156362	0.126516	0.156362	0.103851	False	0	0.0
SUN5	26	0.107216	0.249782	0.035524	0.249782	0.203003	False	0	0.0
DPPA4	27	0.107192	0.159916	0.097785	0.159916	0.086393	False	0	0.0
H3C3	13	0.107184	0.236066	0.002709	0.236066	0.231787	False	0	0.0
TFAP2B	16	0.107184	0.221383	0.221383	0.176614	0.011014	False	0	0.0
DENND11	29	0.107158	0.150979	0.0	0.150979	0.148576	False	0	0.0
LOC105370030	3	0.107146	0.107966	0.107966	0.106325	None	False	0	0.0
IFT46	37	0.107141	0.22455	0.023781	0.200326	0.22455	False	0	0.0
SOGA1	84	0.107137	0.206668	0.089257	0.122396	0.206668	False	0	0.0
LOC101927180	12	0.107135	0.250815	0.022183	0.165384	0.250815	False	0	0.0
PSME4	72	0.107128	0.177724	0.050473	0.177724	0.115805	False	0	0.0
PAX3	33	0.107121	0.177386	0.009001	0.177386	0.14086	False	0	0.0
LATS2	94	0.107111	0.153443	0.135591	0.122872	0.153443	False	0	0.0
HMGN1	32	0.107077	0.192004	0.145976	0.192004	0.036693	False	0	0.0
LOC124903317	11	0.107068	0.223815	0.205177	0.223815	0.0	False	0	0.0
DDX52	46	0.107065	0.240245	0.240245	0.033642	0.106915	False	0	0.0
KLHDC7B	99	0.107058	0.143703	0.143703	0.126418	0.10534	False	0	0.0
OGFR	77	0.107058	0.158029	0.027299	0.158029	0.152798	False	0	0.0
ABCD3	135	0.107056	0.217758	0.217758	0.120951	0.053154	False	0	0.0
ANGPT4	36	0.107055	0.17187	0.113174	0.083851	0.17187	False	0	0.0
UBR3	55	0.107044	0.165928	0.165928	0.096149	0.054263	False	0	0.0
SERPINA6	32	0.107035	0.264001	0.034481	0.264001	0.176296	False	0	0.0
CGGBP1	37	0.107023	0.153962	0.14047	0.149113	0.040136	False	0	0.0
PTF1A	19	0.107015	0.319116	0.027465	0.183634	0.319116	False	0	0.0
RBBP8NL	66	0.106994	0.206453	0.10273	0.206453	0.069881	False	0	0.0
PCDHB14	84	0.106986	0.215128	0.15477	0.215128	0.033987	False	0	0.0
HCN4	71	0.106974	0.185494	0.134436	0.113418	0.185494	False	0	0.0
PLCL1	63	0.106962	0.176335	0.120629	0.14779	0.087345	False	0	0.0
EIF3L	16	0.106955	0.318149	0.046722	0.318149	0.147119	False	0	0.0
NOX3	41	0.106948	0.263013	0.030943	0.182376	0.263013	False	0	0.0
AMDHD1	34	0.106943	0.168756	0.073885	0.162296	0.168756	False	0	0.0
MYHAS	5	0.106933	0.213577	None	0.00029	0.213577	False	0	0.0
SCP2D1	10	0.106929	0.266732	0.112428	0.266732	0.072454	False	0	0.0
SELENOP	19	0.106929	0.208773	0.000462	0.172398	0.208773	False	0	0.0
ADAMTS5	54	0.106893	0.242696	0.057055	0.242696	0.173889	False	0	0.0
SNX5	20	0.10689	0.199169	0.05906	0.199169	0.065104	False	0	0.0
FANCE	29	0.106875	0.215235	0.215235	0.143635	0.031368	False	0	0.0
EPHA7	44	0.106859	0.167907	0.152634	0.120892	0.074047	False	0	0.0
ANAPC13	9	0.106858	0.106858	0.106858	0.106858	None	False	0	0.0
STXBP4	47	0.106856	0.16521	0.086716	0.16521	0.108186	False	0	0.0
KRTAP10-9	58	0.106837	0.200058	0.200058	0.190259	0.001743	False	0	0.0
MRPS26	14	0.106808	0.219196	0.219196	None	0.010523	False	0	0.0
SLC29A3	60	0.106785	0.177448	0.177448	0.133792	0.072836	False	0	0.0
UBAP2L	33	0.106784	0.309973	0.086673	0.087513	0.309973	False	0	0.0
NSF	14	0.106772	0.166223	0.164517	None	0.166223	False	0	0.0
SYCP2L	44	0.106769	0.174712	0.129258	0.126943	0.089505	False	0	0.0
RNF144A	23	0.106756	0.190078	0.124871	0.083902	0.084172	False	0	0.0
LBHD1	38	0.106755	0.228761	0.069156	0.228761	0.126438	False	0	0.0
NKX2-5	25	0.106745	0.199506	0.199506	0.07051	0.148258	False	0	0.0
MBOAT1	24	0.10672	0.188422	0.156768	0.188422	0.024918	False	0	0.0
PDK4	21	0.10671	0.275753	0.055132	0.117762	0.275753	False	0	0.0
OVOL2	18	0.106701	0.202733	0.090188	0.202733	0.067805	False	0	0.0
EGF	83	0.106697	0.156166	0.156166	0.090741	0.152821	False	0	0.0
DCAF16	28	0.106696	0.231479	0.231479	0.068657	0.071906	False	0	0.0
PROM1	73	0.106689	0.188271	0.188271	0.090091	0.098804	False	0	0.0
ZAR1	30	0.106688	0.175867	0.137754	0.175867	0.058068	False	0	0.0
MYOC	36	0.10668	0.21866	0.088796	0.073429	0.019851	False	0	0.0
AGBL3	85	0.106665	0.180385	0.116244	0.180385	0.093446	False	0	0.0
SOX5	200	0.10666	0.236123	0.0645	0.121186	0.236123	False	0	0.0
LOC124901643	86	0.10665	0.187828	0.106716	0.083926	0.123929	False	0	0.0
TYRO3	49	0.10665	0.198448	0.074526	0.1661	0.198448	False	0	0.0
ATOH8	35	0.106638	0.158314	0.158314	0.142271	0.094569	False	0	0.0
CYB5R1	17	0.106605	0.151408	0.114443	0.151408	None	False	0	0.0
GAS5	7	0.106599	0.176102	0.161845	None	0.087663	False	0	0.0
MCPH1	135	0.106587	0.165934	0.165934	0.156094	0.055597	False	0	0.0
TMEM200A	52	0.106577	0.142542	0.142542	0.141798	0.082624	False	0	0.0
CCDC96	28	0.106573	0.215949	0.120777	0.215949	0.034313	False	0	0.0
MAP1B	102	0.106568	0.192447	0.080947	0.192447	0.106953	False	0	0.0
HNRNPA2B1	13	0.106544	0.151922	0.136276	0.151922	None	False	0	0.0
SDK2	167	0.10654	0.139953	0.139953	0.101264	0.113741	False	0	0.0
XPR1	21	0.106539	0.179385	0.17685	0.179385	0.000934	False	0	0.0
EYS	215	0.106538	0.238866	0.107391	0.238866	0.06323	False	0	0.0
SPDEF	51	0.106537	0.186195	0.16495	0.156379	0.025161	False	0	0.0
SLC25A23	65	0.106532	0.191437	0.191437	0.188761	0.002466	False	0	0.0
IL20	12	0.106509	0.160565	0.160565	0.152798	None	False	0	0.0
ARID5A	47	0.106504	0.199764	0.199764	0.058785	0.0759	False	0	0.0
AP2A2	62	0.106501	0.204111	0.118574	0.030841	0.204111	False	0	0.0
MAEA	64	0.106494	0.205349	0.205349	0.105012	0.062991	False	0	0.0
NCMAP	19	0.106478	0.203502	0.160335	0.203502	0.013843	False	0	0.0
RGL3	49	0.106478	0.217357	0.138431	0.091147	0.040728	False	0	0.0
NCOA6	102	0.106475	0.177411	0.139747	0.177411	0.068176	False	0	0.0
LOC124900173	59	0.106468	0.246545	0.082058	0.246545	0.14378	False	0	0.0
PDZD7	97	0.106465	0.161855	0.144064	0.161855	0.110244	False	0	0.0
KRT78	61	0.106434	0.197046	0.197046	0.082089	0.065821	False	0	0.0
CRTAP	31	0.106427	0.29019	0.11241	0.061442	0.29019	False	0	0.0
IGHV4-28	38	0.106423	0.162278	0.155881	0.075817	0.162278	False	0	0.0
FAM174A	13	0.106415	0.173147	0.011458	0.173147	0.1522	False	0	0.0
PRMT6	21	0.106413	0.198395	0.195337	0.129696	0.008639	False	0	0.0
GTPBP1	27	0.106408	0.206596	0.206596	0.126468	0.021079	False	0	0.0
OBP2A	58	0.106398	0.200461	0.099978	0.200461	0.104984	False	0	0.0
VPREB1	24	0.106391	0.219171	0.130451	0.219171	0.087532	False	0	0.0
CUEDC2	13	0.106387	0.264275	0.162065	0.02115	0.064838	False	0	0.0
